Timestamp,People_Count,Crowd_Status
10:57:35,1,Normal
10:57:36,2,Normal
10:57:37,2,Normal
10:57:38,3,Normal
10:57:39,2,Normal
10:57:40,2,Normal
10:57:41,2,Normal
10:57:42,3,Normal
10:57:43,2,Normal
10:57:44,1,Normal
10:57:45,2,Normal
10:57:46,2,Normal
10:57:47,1,Normal
10:57:48,1,Normal
10:57:49,2,Normal
10:57:50,2,Normal
10:57:51,2,Normal
10:57:52,1,Normal
10:57:53,2,Normal
10:57:54,1,Normal
10:57:55,2,Normal
10:57:56,2,Normal
10:57:57,2,Normal
10:57:58,2,Normal
10:57:59,2,Normal
10:58:00,2,Normal
10:58:01,2,Normal
10:58:02,2,Normal
10:58:03,2,Normal
10:58:04,2,Normal
10:58:05,2,Normal
10:58:06,2,Normal
10:58:07,2,Normal
10:58:08,2,Normal
10:58:09,3,Normal
10:58:10,3,Normal
10:58:11,2,Normal
10:58:12,2,Normal
10:58:13,2,Normal
10:58:14,2,Normal
10:58:15,2,Normal
10:58:16,2,Normal
10:58:17,2,Normal
10:58:18,2,Normal
10:58:19,3,Normal
10:58:20,3,Normal
10:58:21,3,Normal
10:58:22,3,Normal
10:58:23,3,Normal
10:58:24,3,Normal
10:58:25,3,Normal
10:58:26,3,Normal
10:58:27,3,Normal
10:58:28,2,Normal
10:58:29,2,Normal
10:58:30,3,Normal
10:58:31,3,Normal
10:58:32,2,Normal
10:58:33,2,Normal
10:58:34,3,Normal
10:58:35,2,Normal
10:58:36,1,Normal
10:58:37,1,Normal
10:58:38,1,Normal
10:58:39,1,Normal
10:58:40,1,Normal
10:58:41,1,Normal
10:58:42,1,Normal
10:58:43,1,Normal
10:58:44,1,Normal
10:58:45,1,Normal
10:58:46,1,Normal
10:58:47,1,Normal
10:58:48,1,Normal
10:58:49,1,Normal
10:58:50,1,Normal
10:58:51,1,Normal
10:58:52,1,Normal
10:58:53,1,Normal
10:58:54,1,Normal
10:58:55,1,Normal
10:58:56,1,Normal
10:58:57,1,Normal
10:58:58,1,Normal
10:58:59,2,Normal
10:59:00,1,Normal
10:59:01,1,Normal
10:59:02,2,Normal
10:59:03,2,Normal
10:59:04,2,Normal
10:59:05,2,Normal
10:59:06,3,Normal
10:59:07,3,Normal
10:59:08,3,Normal
10:59:09,3,Normal
10:59:10,3,Normal
10:59:11,3,Normal
10:59:12,3,Normal
10:59:13,3,Normal
10:59:14,3,Normal
10:59:15,3,Normal
10:59:16,3,Normal
10:59:17,3,Normal
10:59:18,3,Normal
10:59:19,2,Normal
10:59:20,2,Normal
10:59:21,2,Normal
10:59:22,2,Normal
10:59:23,2,Normal
10:59:24,2,Normal
10:59:25,2,Normal
10:59:26,2,Normal
10:59:27,3,Normal
10:59:28,3,Normal
10:59:29,3,Normal
10:59:30,3,Normal
10:59:31,3,Normal
10:59:32,3,Normal
10:59:33,3,Normal
10:59:34,3,Normal
10:59:35,2,Normal
10:59:36,1,Normal
10:59:37,1,Normal
10:59:38,2,Normal
10:59:39,2,Normal
10:59:40,2,Normal
10:59:41,1,Normal
10:59:42,1,Normal
10:59:43,1,Normal
10:59:44,1,Normal
10:59:45,1,Normal
10:59:46,1,Normal
10:59:47,1,Normal
10:59:48,1,Normal
10:59:49,1,Normal
10:59:50,1,Normal
10:59:51,1,Normal
10:59:52,1,Normal
10:59:53,1,Normal
10:59:54,1,Normal
10:59:55,1,Normal
10:59:56,1,Normal
10:59:57,1,Normal
10:59:58,1,Normal
10:59:59,1,Normal
11:00:00,1,Normal
11:00:01,1,Normal
11:00:02,1,Normal
11:00:03,1,Normal
11:00:04,1,Normal
11:00:05,1,Normal
